"dog","trial","chemical","run","success"
1,3,"2E1H",1,FALSE
1,3,"Ammonia",2,TRUE
2,3,"2E1H",1,FALSE
2,3,"Ammonia",2,TRUE
9,3,"2E1H",1,FALSE
9,3,"Ammonia",2,TRUE
11,3,"2E1H",1,TRUE
11,3,"Ammonia",2,TRUE
12,3,"2E1H",1,FALSE
12,3,"Ammonia",2,FALSE
14,3,"2E1H",1,FALSE
14,3,"Ammonia",2,FALSE
15,3,"2E1H",1,FALSE
15,3,"Ammonia",2,TRUE
17,3,"2E1H",1,FALSE
17,3,"Ammonia",2,TRUE
19,3,"2E1H",1,FALSE
19,3,"Ammonia",2,TRUE
20,3,"2E1H",1,FALSE
20,3,"Ammonia",2,TRUE
21,3,"2E1H",1,FALSE
21,3,"Ammonia",2,TRUE
22,3,"2E1H",1,FALSE
22,3,"Ammonia",2,TRUE
23,3,"2E1H",1,TRUE
23,3,"Ammonia",2,TRUE
24,3,"2E1H",1,FALSE
24,3,"Ammonia",2,FALSE